pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,34413172,0xdfd361851a61d0215ebd35a2b8a0cac30c8e110f42b924fa1f1bd42263617df2,1667295939,50,0xdfd361851a61d0215ebd35a2b8a0cac30c8e110f42b924fa1f1bd42263617df2,sender,recipient,-3.125058986263868,117.12552150470712,482681478307990609559388491591,0,37116079892121.6,36142
mypool,34413456,0x5d569d34eb8f72e8f78d9571c65d2eecf61284eb4a36def42eec04cb2333aa74,1667296005,6,0x5d569d34eb8f72e8f78d9571c65d2eecf61284eb4a36def42eec04cb2333aa74,sender,recipient,-12.470407651000396,468.1025884380018,483274766832213755810461599822,0,37207378516757.97,36166
mypool,34417060,0x204ff44e839c57b172c167d06103b8e1efc76758fd62958e59d07b1172007f16,1667296979,3,0x204ff44e839c57b172c167d06103b8e1efc76758fd62958e59d07b1172007f16,sender,recipient,2.8e-17,-1e-15,483274766832213755809181364778,0,37207378516757.97,36166
mypool,34488437,0xd41a2cf4754dabc2b34080b9b3ac5e15466cfc0a09466881e8ec9ae2eeac9b8e,1667316626,7,0xd41a2cf4754dabc2b34080b9b3ac5e15466cfc0a09466881e8ec9ae2eeac9b8e,sender,recipient,-18.833557522590418,709.1403067562917,484163550130917500042422172466,0,37344359412542.34,36203
mypool,34492068,0xf332b47369d1396e316d19a8330e0491a6053728527d182ae5ffe9810f593445,1667317636,7,0xf332b47369d1396e316d19a8330e0491a6053728527d182ae5ffe9810f593445,sender,recipient,-0.18147368286136553,6.845583347012077,484171342795956577326460987047,0,37345561545275.625,36203
mypool,34492493,0x19152d4a487c8fdb918d36d16d207f679861abc52af5208b96af1fd5d6074633,1667317750,3,0x19152d4a487c8fdb918d36d16d207f679861abc52af5208b96af1fd5d6074633,sender,recipient,-0.07592628566661698,2.864170574432104,484174603222536742019920946365,0,37346064519577.19,36204
mypool,34496491,0x7cbedb6fe013dd45eaad7bf0d9ec89247af5467cab349370dd5cf0eb81f0bfd5,1667318867,9,0x7cbedb6fe013dd45eaad7bf0d9ec89247af5467cab349370dd5cf0eb81f0bfd5,sender,recipient,-2.77075031779e-07,1.0452183852387e-05,484174603234434978234378007932,0,37346064521412.69,36204
mypool,34497520,0x07becf3953f212d49a724dd68ba25cf441f88d02835ea1849b58abf2a74cdda8,1667319155,3,0x07becf3953f212d49a724dd68ba25cf441f88d02835ea1849b58abf2a74cdda8,sender,recipient,-0.000994987259334908,0.03753420370128168,484174645961469640700075612285,0,37346071112781.39,36204
mypool,34497746,0xea1e2e6605cd89bd6c3a7106728fb105e26f2d3efce2f79d0f5927034cb79c99,1667319219,5,0xea1e2e6605cd89bd6c3a7106728fb105e26f2d3efce2f79d0f5927034cb79c99,sender,recipient,-0.051234838407975776,1.9327561752136126,484176846113116647047949338655,0,37346410524219.984,36204
mypool,34498051,0xc27ef916854f0f453be0ce296c53c97e629986e562b34b9ca7f3c3f0d2891513,1667319305,5,0xc27ef916854f0f453be0ce296c53c97e629986e562b34b9ca7f3c3f0d2891513,sender,recipient,-0.044764441603347055,1.6886846974438492,484178768426166788962846744933,0,37346707075512.836,36204
mypool,34498453,0x92c73f96d1125d1e3572bd135a06482cb94104f83a40fc845c8464709d1550b7,1667319420,5,0x92c73f96d1125d1e3572bd135a06482cb94104f83a40fc845c8464709d1550b7,sender,recipient,-0.05175625056912362,1.9524589921794666,484180991006501776761376828880,0,37347049949891.69,36204
mypool,34499738,0x399a3b42badba8b2ecfbe21f1e07f5bf0282e01a71d78903ab88629e860e4fc5,1667319781,8,0x399a3b42badba8b2ecfbe21f1e07f5bf0282e01a71d78903ab88629e860e4fc5,sender,recipient,-0.003976216269528763,0.15,484181161758897388420627236435,0,37347076291691.516,36204
mypool,34591305,0x43d284ad5ec6b7ad25e544c35e6bb878090ac0fd0e25b976ff0f3d8f15b1fde6,1667352462,3,0x43d284ad5ec6b7ad25e544c35e6bb878090ac0fd0e25b976ff0f3d8f15b1fde6,sender,recipient,-2.557019038763073,96.48355198525886,484290328032476242207006943837,0,37363919164097.4,36208
mypool,34592025,0x4d949280f9dc2a85d1e8b4101646cd7299263a676951c7c09d4e6a8d950c77b9,1667352774,3,0x4d949280f9dc2a85d1e8b4101646cd7299263a676951c7c09d4e6a8d950c77b9,sender,recipient,-0.010598450023151155,0.4,484290780612304959676496991752,0,37363988998917.79,36208
mypool,34592893,0xa875defd9709a3099a70829d5484eba473e54cca6a6cd8654576d9924890c647,1667353137,7,0xa875defd9709a3099a70829d5484eba473e54cca6a6cd8654576d9924890c647,sender,recipient,-3.973022717301877,150.0,484460498048074010735264960162,0,37390181657543.24,36215
mypool,34596586,0xaa2fd926c847a948b19ed09fc3c9a84b8c6be91d52e3f6ac7bcc968e29e9a229,1667354734,27,0xaa2fd926c847a948b19ed09fc3c9a84b8c6be91d52e3f6ac7bcc968e29e9a229,sender,recipient,-0.045872151030252294,1.7325,484462458284457143274993730197,0,37390484236362.5,36215
mypool,34597231,0xde5fab924ee479f8137e560acfcec47346e7b608ba835d9b2b326210b4812992,1667355004,24,0xde5fab924ee479f8137e560acfcec47346e7b608ba835d9b2b326210b4812992,sender,recipient,-1.3607711492700605,51.4,484520614792447338104464887372,0,37399461734929.086,36218
mypool,34598882,0x626fa954d708f15650caafa805b8818480b8a9a16ae0013900ab8e17d5feb836,1667355666,3,0x626fa954d708f15650caafa805b8818480b8a9a16ae0013900ab8e17d5feb836,sender,recipient,-2.6464790054352005,100.0,484633743502834267160497267503,0,37416928264442.5,36223
mypool,34599121,0xf6458e07d7dd91733a5fc08cc85d09a8d7be6d50772036ca159128f267eb35a2,1667355763,10,0xf6458e07d7dd91733a5fc08cc85d09a8d7be6d50772036ca159128f267eb35a2,sender,recipient,-0.44170931904500177,16.695,484652630341033364966401873366,0,37419844698759.336,36223
mypool,34599462,0x17bd1c35786628d9eeeab45b010b38a0be12a80436c05f157d76f7b083fc6e94,1667355899,3,0x17bd1c35786628d9eeeab45b010b38a0be12a80436c05f157d76f7b083fc6e94,sender,recipient,-2.645037610024618,100.0,484765759051420294022434253497,0,37437315986758.24,36228
mypool,34599548,0xff709ed3b89bb7115d11cdce53880425d9f09e0a762469653ed23d5b38d33456,1667355928,10,0xff709ed3b89bb7115d11cdce53880425d9f09e0a762469653ed23d5b38d33456,sender,recipient,-2.643803364932495,100.0,484878887761807223078466633628,0,37454791352468.69,36233
mypool,34601814,0x5f88049a5b5c809eef3662265b0b93783b2caa9d3e9f110207f6fe32d9c9424a,1667356850,10,0x5f88049a5b5c809eef3662265b0b93783b2caa9d3e9f110207f6fe32d9c9424a,sender,recipient,-0.944992511534275,35.755,484919336932206069562451011144,0,37461040659122.74,36234
mypool,34602390,0x0fbba334e299f08279e48a0c6e9127634a16ad656e0d6766be18404900846b3f,1667357084,3,0x0fbba334e299f08279e48a0c6e9127634a16ad656e0d6766be18404900846b3f,sender,recipient,-0.048337070499481403,1.829055242381404,484921406118814040164287181814,0,37461360357856.65,36234
mypool,34602893,0x762212b725bd97f88645f735f1b77a78b392b94ed38e92d62c03a1619dae19b2,1667357291,3,0x762212b725bd97f88645f735f1b77a78b392b94ed38e92d62c03a1619dae19b2,sender,recipient,-2.335050999022451,88.376,485021485024319031960113211170,0,37476824632141.19,36239
mypool,34603487,0x19e8165a8abb08e2f844697f9aae0a093f96c2339fa78eb40cacd272a428f663,1667357524,3,0x19e8165a8abb08e2f844697f9aae0a093f96c2339fa78eb40cacd272a428f663,sender,recipient,-2.641015933918303,100.0,485134727200367949987435141735,0,37494326754173.13,36243
mypool,34604613,0x2bbc14044e3a32c3fcce28d7f23231242227f34e7fef6aeca3dc576a295cd25f,1667357956,3,0x2bbc14044e3a32c3fcce28d7f23231242227f34e7fef6aeca3dc576a295cd25f,sender,recipient,-0.02698353666357104,1.0219514687975646,485135884480449380229220282685,0,37494505638457.61,36243
mypool,34605203,0x46bdd7472a2c22a3e4ace5fe90cbe47c20bffcfe945115d63f5259e66cab9f77,1667358183,3,0x46bdd7472a2c22a3e4ace5fe90cbe47c20bffcfe945115d63f5259e66cab9f77,sender,recipient,-0.20904450163845245,7.917338484182478,485144850246834026889056041595,0,37495891518559.89,36244
mypool,34605481,0x1bed461f0289c78599267c6e81ce24b72f01ff6a764fefdc2ace099d866fc901,1667358288,14,0x1bed461f0289c78599267c6e81ce24b72f01ff6a764fefdc2ace099d866fc901,sender,recipient,-0.5746861856800576,21.767137091121473,485169499826539564002255910095,0,37499701850448.69,36245
