pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,15916636,0x63eafd47a26e7b435666bc8e6073b92ee780309b94a81cd889e24d61cda18c50,1667805899,2,0x63eafd47a26e7b435666bc8e6073b92ee780309b94a81cd889e24d61cda18c50,sender,recipient,-527012.26276,335.4833284983422,1998857226242208167102255558448377,0,6.365087550480123e+20,202725
mypool,15916637,0x413f7929fd4e574da7ad97d4b90f0d47f1802581bc21898af60279498ee612b3,1667805911,12,0x413f7929fd4e574da7ad97d4b90f0d47f1802581bc21898af60279498ee612b3,sender,recipient,2250.208315,-1.4315585843103105,1998853638325684531139477635186543,0,6.365064700041383e+20,202725
mypool,15916638,0x3dc84507966294b201ba00ba75f8c367269f599257303a26fedcdb5dc7d13b27,1667805923,2,0x3dc84507966294b201ba00ba75f8c367269f599257303a26fedcdb5dc7d13b27,sender,recipient,66695.240567,-42.4284688589444,1998747299817320291870347425952516,0,6.364387478389229e+20,202724
mypool,15916638,0x5eec8c50669c0f65880a9abbd1d06c594e8fa9abea2ae557f3e56463eee223a9,1667805923,251,0x5eec8c50669c0f65880a9abbd1d06c594e8fa9abea2ae557f3e56463eee223a9,sender,recipient,30.209795,-0.019217070231911212,1998747251653560473291174816424733,0,6.364387171664285e+20,202724
mypool,15916639,0x4aa897a12f15cdb24a7f6b525162b102f51a0007324a862f0bb57edc23db7bbd,1667805935,107,0x4aa897a12f15cdb24a7f6b525162b102f51a0007324a862f0bb57edc23db7bbd,sender,recipient,-15411.826048,9.813701309655277,1998770920151710081447134200794218,0,6.364537902456044e+20,202724
mypool,15916639,0x7fa2f1933932689344f6dbe22285724e97fb34237b6eb36b726e093aeb488ec9,1667805935,147,0x7fa2f1933932689344f6dbe22285724e97fb34237b6eb36b726e093aeb488ec9,sender,recipient,4236.597518,-2.695041240533343,1998764165567507403839063471641260,0,6.364494886286357e+20,202724
mypool,15916639,0xf9f2c63b3e391c490f04cc925078ced377cb26ff5d0fd7504618bfdda8910609,1667805935,74,0xf9f2c63b3e391c490f04cc925078ced377cb26ff5d0fd7504618bfdda8910609,sender,recipient,574.099588,-0.36519634834326964,1998746336361635327524720185569499,0,6.364381342742346e+20,202724
mypool,15916640,0x22c1a732b924959764243d96e393f2e79e23b51fa88867fadd8a0f4c5fd8008d,1667805947,156,0x22c1a732b924959764243d96e393f2e79e23b51fa88867fadd8a0f4c5fd8008d,sender,recipient,-5103.913751,3.25,1998765683640325890261041924373490,0,6.364504554030582e+20,202724
mypool,15916640,0xaa066c3248758393733a37ca0cc47297552459a66278161b4afda352528335c5,1667805947,6,0xaa066c3248758393733a37ca0cc47297552459a66278161b4afda352528335c5,sender,recipient,4154.301731,-2.6426724535232293,1998757542235241109178120752032915,0,6.364452706128015e+20,202724
mypool,15916641,0x5827c200ab6871b33e791edde257d28ab491c22422336a73285d3ae2b11ceb60,1667805959,2,0x5827c200ab6871b33e791edde257d28ab491c22422336a73285d3ae2b11ceb60,sender,recipient,255289.268709,-162.3646688005561,1998358748929843989610617858008538,0,6.361913280633564e+20,202720
mypool,15916642,0x1435e2d767af3de4fc84cf703a36f27f1943d84332f1f702e8e6fd006ff6642c,1667805971,135,0x1435e2d767af3de4fc84cf703a36f27f1943d84332f1f702e8e6fd006ff6642c,sender,recipient,-3142.957681,2.0,1998099102301244530920870659507911,0,6.360260182036224e+20,202717
mypool,15916642,0x65f4e0768e5f770859a16d19961e0872bb1a863114b2eaa5a3a78b2947b4d8b8,1667805971,2,0x65f4e0768e5f770859a16d19961e0872bb1a863114b2eaa5a3a78b2947b4d8b8,sender,recipient,277720.188639,-176.57079469223962,1998096244314677978932806645927283,0,6.36024198721782e+20,202717
